restaurant_id,Title,Reviews,Rating,Price,Revenue,Cuisine,Cuisine_countries,Cuisine_countries_0,Cuisine_countries_1,Cuisine_countries_2,Cuisine_countries_3,Cuisine_auxes,lat,lng,restaurants_count,Population,Pricexm2
105,Locanda Carmelina - via Cadore 2,425,4.5,25,425,"Pizza, Seafood, Mediterranean, Healthy, Neapolitan, Campania, Southern-Italian",1E+067,10000000000000,100,1E+023,0,1010100000,45.4616,9.21435,89,31720,4100
106,La Collina d'Oro,684,4.5,,684,"Chinese, Japanese, Seafood, Sushi, Asian, Thai, Soups",1.00000000000001E+073,1.00000000000001E+019,10000000000,100,0,110010,45.46737,9.14274,21,26586,2350
107,la Pìda se' Parsòt,220,4.5,5.5,220,"Italian, Fast Food",1E+040,0,100000000000,0,0,1000000000000,45.51435,9.21172,30,8583,1950
108,Movida,706,4.5,39,706,"Italian, Bar, Mediterranean, Lombard, Northern-Italian, Grill, Contemporary",1.000000011E+040,0,100000001100,1E+021,0,1.00001000001E+021,45.44805,9.17737,81,20008,4000
109,Hegui Taste of Asia,571,4.5,,571,"Chinese, Japanese, Seafood, Sushi, Asian",1.00000000000001E+073,1.00000000000001E+019,10000000000,0,0,100010,45.49689,9.19032,12,25985,2050
110,Johnny Take Ue',311,4.5,14.5,311,"Italian, Pizza, Seafood, Mediterranean, Neapolitan, Campania, Southern-Italian",1E+067,10000000000000,100000000100,1E+023,0,10100000,45.45757,9.20437,55,15364,5050
111,Casa Del Pane,171,5,,171,Street Food,0,0,0,0,0,100,45.47379,9.18365,114,18492,6250
112,Trapizzino MIlano,264,4.5,8,264,"Italian, Street Food, Mediterranean, Romana, Lazio, Central-Italian",1E+060,1000000,100001000100,1000000000000000,0,100,45.46751,9.15399,52,21394,3500
113,Uzbek,301,4.5,47.5,301,"Russian, Uzbek",1E+018,0,0,100000000000000,100,0,45.48999,9.18352,88,22859,3200
114,Il Panzerotto,699,4.5,5,699,"Italian, Fast Food, Mediterranean",1.000000001E+040,0,100000000100,0,0,1000000000000,45.4819,9.21338,193,62347,4750
115,Mi Casa Toasteria - Turro,,4.5,5,113.47619047619,"Fast Food, Italian, Cafe, European, Healthy",1.00000000001E+051,0,1.00000000001E+022,0,0,1.00001001E+017,45.49767,9.22523,24,37408,2200
116,Mandarin 2,,4.5,33.5,187.7265625,"Chinese, Seafood, Asian",1.00000000000001E+073,1.00000000000001E+019,0,0,0,100000,45.48,9.21949,193,62347,4750
117,Mes Amis,503,4.5,47.5,503,"Mediterranean, Italian, Seafood, European, Lombard, Northern-Italian",1.00000000001E+051,0,1.00000000001E+022,1E+021,0,100000,45.48117,9.16174,32,17883,4300
118,Noi Pesce,443,4.5,35.5,443,"Italian, Seafood, Fusion",1.0000001E+047,0,1.0000001E+018,0,0,100000,45.48429,9.15708,13,8863,4200
119,Don Juan,,4,89.5,282.428571428571,"Steakhouse, Latin, Barbecue, Healthy, Argentinean, Grill",1E+074,1E+020,10000000,0,0,1.00000000011E+020,45.45057,9.19923,60,16739,3100
120,Kisen Mora,529,4.5,53.5,529,"Japanese, Seafood, Sushi, Asian, Soups",1E+073,1E+019,10000000000,0,0,110010,45.45882,9.17963,204,16765,4950
121,Noodle House,399,4.5,18.5,399,"Seafood, Asian, Korean, Soups",1E+073,1E+019,100000000,0,0,110000,45.48622,9.23296,70,44572,2800
122,Ya Hò,119,4.5,20.5,119,"Chinese, Asian, Soups, Fujian",1.00000000000001E+073,1.00000000000001E+019,1E+019,0,0,10000,45.4567,9.16987,74,17030,4000
123,Nico Ristorante Pizzeria,355,4.5,,355,"Italian, Pizza, Seafood, Mediterranean, European, Tuscan, Lombard, Northern-Italian, Central-Italian",1.000000001E+060,1000000,1.00000000001E+022,1E+021,10000,10100000,45.46478,9.17539,204,16765,4950
124,Spoon,322,4.5,47.5,322,"Japanese, Seafood, Sushi, Asian, Fusion",1E+073,1E+019,1.00000001E+018,0,0,100010,45.46336,9.20822,89,31720,4100
125,Mama Eat Milano,485,4.5,38.5,485,"Italian, Pizza, Mediterranean, Seafood, Neapolitan, Campania, Southern-Italian",1E+067,10000000000000,100000000100,1E+023,0,10100000,45.48354,9.17022,91,30985,3850
126,Just India,562,4,31.5,562,Indian,1E+043,0,100000000000000,0,0,0,45.48189,9.20952,193,62347,4750
127,Omacase,208,4.5,71.5,208,"Japanese, Sushi, Seafood",1E+039,0,10000000000,0,0,100010,45.45524,9.17286,74,17030,4000
128,Ristorante Orientale Hong Kong Crossover,374,4.5,39,374,"Japanese, Chinese, Seafood, Sushi, Asian",1.00000000000001E+073,1.00000000000001E+019,10000000000,0,0,100010,45.46956,9.18673,114,18492,6250
129,Dream ristorante coreano,168,4.5,15.5,168,"Asian, Korean",1E+073,1E+019,100000000,0,0,0,45.47491,9.21129,193,62347,4750
130,Hana Restaurant,,4.5,47.5,239.715384615385,"Japanese, Seafood, Sushi, Asian, Fusion",1E+073,1E+019,1.00000001E+018,0,0,100010,45.46568,9.16005,34,27088,4550
131,Maison Bretonne,334,4.5,32.5,334,French,1E+049,0,1E+020,0,0,0,45.48104,9.16688,91,30985,3850
132,La Belle Alliance,416,4,26,416,"Italian, Bar, Pub, Brew Pub",1E+040,0,100000000000,0,0,1.001E+021,45.44624,9.17913,81,20008,4000
133,Le Striatelle,851,4.5,,851,"Italian, Mediterranean, European, Emilian",1.0100000000001E+053,0,1.0100000000001E+024,0,0,0,45.45279,9.17449,74,17030,4000
134,SlowSud,,4,24,169.613636363636,"Italian, Apulian",1E+076,1E+022,100000000000,0,0,0,45.46314,9.18616,204,16765,4950
135,Toast To Coast Bicocca,342,4.5,12,342,"Italian, American, Seafood, Mediterranean",1E+077,1E+023,100000000100,0,0,100000,45.52548,9.21451,30,8583,1950
136,Ristorante Aladino,647,4,,647,"Middle Eastern, Lebanese, Barbecue, Arabic",1E+075,1E+021,100001,1E+025,0,1E+020,45.4757,9.21447,193,62347,4750
137,Alhambra Risto Veg,924,4,,924,"Italian, Healthy, Middle Eastern, International, Gastropub",1.0100000000001E+042,0,10100000000001,1E+025,0,101000000000,45.47855,9.20634,193,62347,4750
138,Capuano's,891,4.5,,891,"Italian, Pizza, Mediterranean, Neapolitan, Campania, Southern-Italian",1E+067,10000000000000,100000000100,1E+023,0,10000000,45.48063,9.16867,91,30985,3850
139,Bomaki Porta Romana,474,4,36,474,"Japanese, Sushi, Brazilian, Asian",1.0001E+073,1.0001E+019,10000000000,0,0,10,45.45158,9.20525,60,16739,3100
140,Sumire,599,4.5,,599,"Japanese, Seafood, Sushi, Asian, Soups",1E+073,1E+019,10000000000,0,0,110010,45.47886,9.18435,114,18492,6250
141,Ristorante Pizzeria La Ragazza,522,4,33,522,"Seafood, Italian, Pizza, Mediterranean, European, Lombard, Northern-Italian",1.00000000001E+051,0,1.00000000001E+022,1E+021,0,10100000,45.47494,9.20907,193,62347,4750
